확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-03,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"13,512,686",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-09-03,카카오페이지,2,오빠 친구의 불순한 과외,예주하,2026-08-30,뷰수,"363,349",#현대로맨스 #동거물 #오빠 #다정남 #츤데레남 #유혹남 #재벌남 #능력남 #절륜남 #순정녀 #직진녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/70324023
2026-09-03,카카오페이지,3,뱀과 꽃과 범,김목샤,2026-09-01,뷰수,"79,354",#현대로맨스 #미스터리 #능력남 #재벌남 #직진남 #계략남 #다정남 #애교남 #유혹남 #존댓말남 #연하남 #능력녀 #냉정녀 #우월녀,https://page.kakao.com/content/70270208
2026-09-03,카카오페이지,4,의술 명가 시한부 막내딸은 천재 의원,빅노아,2026-08-28,뷰수,"327,656",#동양풍 #육아물 #회귀물 #성장물 #다정남 #대형견남 #직진남 #능력녀 #외유내강 #치유물 #권선징악 #냉정남 #전문직물 #까칠남 #복수물,https://page.kakao.com/content/69943182
2026-09-03,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,983,610",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-09-03,카카오페이지,6,악덕 시어머니는 농사지으며 늙고 싶다,"함어삼삼,새라",2026-08-28,뷰수,"185,648",#동양풍 #성장물 #환생물 #가족물 #능력녀 #사이다녀 #타임슬립 #빙의물,https://page.kakao.com/content/70451364
2026-09-03,카카오페이지,7,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,646,934",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-09-03,카카오페이지,8,전교 1등이 회귀를 숨김,유지민,2024-11-29,뷰수,"11,972,130",#학원물 #회귀물 #첫사랑 #까칠남 #능글남 #순정남 #후회남 #직진남 #평범녀 #철벽녀 #삼각관계 #로맨틱코미디,https://page.kakao.com/content/65530797
2026-09-03,카카오페이지,9,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,995,010",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-09-03,카카오페이지,10,순정적 미친놈,호미,2026-08-24,뷰수,"285,531",#현대로맨스 #사내연애 #오해물 #성장물 #법조계 #오피스물 #첫사랑 #능글남 #능력남 #직진남 #능력녀 #철벽녀 #상처녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/69906631
