확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-17,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"12,342,225",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-08-17,카카오페이지,2,오싹한 선배 [19세 완전판],우아진,2026-08-16,뷰수,"80,910",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #유혹남 #재벌남 #절륜남 #선배 #능력녀 #자상녀 #엉뚱발랄녀 #철벽녀 #로맨틱코미디,https://page.kakao.com/content/69994141
2026-08-17,카카오페이지,3,미친 전무님의 애착 변호사,진하리,2026-08-12,뷰수,"305,732",#오해물 #복수물 #원나잇 #재벌남 #사이다남 #계략남 #능글남 #유혹남 #오만남 #카리스마남 #능력녀 #상처녀 #전문직물 #로맨틱코미디 #달달물,https://page.kakao.com/content/70142886
2026-08-17,카카오페이지,4,"결혼부터 할까요, 선생님",러현,2026-08-14,뷰수,"174,979",#현대로맨스 #동거물 #첫사랑 #다정남 #재벌남 #츤데레남 #능력남 #직진녀 #순정녀 #다정녀 #상처녀 #짝사랑녀 #계약관계 #나이차커플 #달달물,https://page.kakao.com/content/70018730
2026-08-17,카카오페이지,5,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,197,895",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-08-17,카카오페이지,6,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,716,109",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-08-17,카카오페이지,7,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"1,029,114",#현대로맨스 #재회물 #베이비메신저 #첫사랑 #까칠남 #능글남 #소유욕/독점욕 #외유내강 #철벽녀 #상처녀 #친구>연인 #능력남,https://page.kakao.com/content/69836997
2026-08-17,카카오페이지,8,오싹한 선배,우아진,2026-08-16,뷰수,"32,992",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #재벌남 #유혹남 #절륜남 #선배 #능력녀 #엉뚱발랄녀 #철벽녀 #자상녀 #로맨틱코미디,https://page.kakao.com/content/69994110
2026-08-17,카카오페이지,9,과거문계모양아일상,"골생미,죽필옹(竹筆翁)",2026-08-14,뷰수,"58,063",#동양풍 #해외로맨스 #육아물 #빙의물 #성장물,https://page.kakao.com/content/70264577
2026-08-17,카카오페이지,10,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,321,429",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-08-17,카카오페이지,11,미친 팀장의 계략 연애 [19세 완전판] [단행본],유라떼,2026-07-05,뷰수,"130,036",#현대로맨스 #짝사랑 #사내연애 #능력남 #카리스마남 #엉뚱발랄녀 #계약관계 #로맨틱코미디 #몸정>맘정 #갑을관계 #오피스물 #유혹남 #절륜남 #순진녀 #짝사랑녀,https://page.kakao.com/content/69520555
2026-08-17,카카오페이지,12,십이지신의 사랑받는 아기 신녀님,센리,2026-07-15,뷰수,"786,930",#동양풍 #육아물 #가족후회물 #힐링물 #소꿉친구 #성장물 #다정남 #상처녀 #집착남,https://page.kakao.com/content/69511864
2026-08-17,카카오페이지,13,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"481,233",#막장 #동양풍 #해외로맨스,https://page.kakao.com/content/69855205
2026-08-17,카카오페이지,14,오빠 친구랑 단둘이 몰래,윤손,2026-08-08,뷰수,"245,439",#현대로맨스 #재회물 #동거물 #첫사랑 #까칠남 #소유욕/독점욕 #오빠 #재벌남 #능력남 #오만남 #츤데레남 #순진녀 #상처녀 #나이차커플 #로맨틱코미디,https://page.kakao.com/content/69936999
2026-08-17,카카오페이지,15,장희빈의 애기나인으로 살아남기,김정화,2026-05-14,뷰수,"1,722,016",#궁정로맨스 #동양풍 #타임슬립 #육아물 #성장물 #왕족/귀족 #신분차이 #드라마,https://page.kakao.com/content/69120696
2026-08-17,리디북스,1,이주,스무이레,2026-08-07,별점(리뷰수),"4.7(1,518)",#현대물 #첫사랑 #재회물 #순정남 #다정남 #절륜남 #계략남 #상처녀 #능글남 #재벌남 #애잔물 #법조계 #권선징악 #오래된연인 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #사이다남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #대형견남 #뇌섹녀 #능력녀 #사이다녀 #다정녀 #짝사랑녀 #순정녀 #철벽녀 #까칠녀 #외유내강 #걸크러시 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #스무이레 #신영미디어,https://ridibooks.com/books/211058233
2026-08-17,리디북스,2,서울에서 남자애 하나가 내려왔다더라,견우,2026-08-14,별점(리뷰수),4.8(488),#현대물 #학원물 #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #순정남 #동정남 #다정남 #상처녀 #오해 #카리스마남 #재벌남 #애증 #신분차이 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #집착남 #짝사랑남 #평범녀 #능글녀 #다정녀 #후회녀 #짝사랑녀 #순정녀 #동정녀 #무심녀 #털털녀 #조신남 #츤데레남 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #견우 #SOME,https://ridibooks.com/books/4865000493
2026-08-17,리디북스,3,푹푹,외정,2026-08-11,별점(리뷰수),4.7(386),#현대물 #동거 #복수 #절륜남 #계략남 #순진녀 #능글남 #애증 #경찰/형사/수사관 #몸정>맘정 #유혹남 #오만남 #동정녀 #엉뚱녀 #추리/미스터리/스릴러 #더티토크 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #외정 #로즈벨벳,https://ridibooks.com/books/3170055655
2026-08-17,리디북스,4,이혼 절대 사수!,우윤소,2026-08-14,별점(리뷰수),4.5(219),#현대물 #19+ #첫사랑 #까칠남 #애증 #선결혼후연애 #소유욕/독점욕/질투 #능력남 #집착남 #오만남 #계략녀 #유혹녀 #짝사랑녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #우윤소 #몽블랑,https://ridibooks.com/books/120110169
2026-08-17,리디북스,5,질릴 장난감,밀혜혜,2026-08-10,별점(리뷰수),4.2(391),#현대물 #사내연애 #속도위반 #까칠남 #나쁜남자 #절륜남 #상처녀 #재벌남 #비밀연애 #갑을관계 #신분차이 #능력남 #냉정남 #오만남 #능력녀 #다정녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #밀혜혜 #나인,https://ridibooks.com/books/6323000001
2026-08-17,리디북스,6,사견(飼犬),유오뜨,2026-08-12,별점(리뷰수),4.3(193),#현대물 #절륜남 #카리스마남 #능글남 #애증 #조직/암흑가 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #오만남 #능력녀 #계략녀 #까칠녀 #도도녀 #별점100개이상 #5000~1만원 #10%할인 #고수위 #평점4점이상 #리뷰100개이상 #단행본 #유오뜨 #플로레뜨,https://ridibooks.com/books/297091314
2026-08-17,리디북스,7,겨울 정원 (외전증보판),한혜석,2026-08-14,별점(리뷰수),4.8(96),#현대물 #나이차커플 #첫사랑 #재회물 #동정남 #다정남 #상처녀 #전문직 #뇌섹남 #동정녀 #5000~1만원 #10%할인 #평점4점이상 #단행본 #한혜석 #나인,https://ridibooks.com/books/6336000001
2026-08-17,리디북스,8,일곱 계단을 올라서,강하,2026-08-16,별점(리뷰수),4.6(92),#현대물 #나이차커플 #동거 #첫사랑 #재회물 #나쁜남자 #순정남 #연하남 #다정남 #절륜남 #상처녀 #능글남 #애잔물 #소유욕/독점욕/질투 #능력남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #대형견남 #평범녀 #다정녀 #후회녀 #동정녀 #힐링물 #더티토크 #5000~1만원 #10%할인 #평점4점이상 #단행본 #강하 #튜베로사,https://ridibooks.com/books/3885049275
