확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-06,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,529,499",,https://page.kakao.com/content/68283715
2026-08-06,카카오페이지,2,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"131,712",,https://page.kakao.com/content/69855205
2026-08-06,카카오페이지,3,청룡 가문의 많이 수상한 삐약이,라비올리,2026-08-04,뷰수,"132,574",,https://page.kakao.com/content/69968194
2026-08-06,카카오페이지,4,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"626,943",,https://page.kakao.com/content/69836997
2026-08-06,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"19,988,447",,https://page.kakao.com/content/65721646
2026-08-06,카카오페이지,6,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"3,930,672",,https://page.kakao.com/content/69113551
2026-08-06,카카오페이지,7,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,519,331",,https://page.kakao.com/content/65575525
2026-08-06,카카오페이지,8,장미다방 로맨스,다온향,2026-08-02,뷰수,"88,188",,https://page.kakao.com/content/69895764
2026-08-06,카카오페이지,9,장미다방 로맨스 [19세 완전판],다온향,2026-08-02,뷰수,"75,053",,https://page.kakao.com/content/69895771
2026-08-06,카카오페이지,10,플래그 [19세 완전판],꽃제이,2026-06-22,뷰수,"1,205,763",,https://page.kakao.com/content/69454506
2026-08-06,카카오페이지,11,독점 계약,유정연,2026-07-29,뷰수,"250,294",,https://page.kakao.com/content/69515270
2026-08-06,카카오페이지,12,윗집 오빠의 야밤 연락,아유이,2026-05-04,뷰수,"1,239,617",,https://page.kakao.com/content/69139831
2026-08-06,카카오페이지,13,오빠 친구와의 맞선,휘나,2026-07-23,뷰수,"527,427",,https://page.kakao.com/content/69723868
2026-08-06,카카오페이지,14,오빠의 발칙한 신부,박로세,2026-05-11,뷰수,"363,340",,https://page.kakao.com/content/69133492
2026-08-06,카카오페이지,15,십이지신의 사랑받는 아기 신녀님,센리,2026-07-15,뷰수,"650,013",,https://page.kakao.com/content/69511864
2026-08-06,리디북스,1,핑커 퐁커 스토커,또다른,2019-09-24,별점(리뷰수),4.7(894),,https://ridibooks.com/books/5238000634
2026-08-06,리디북스,2,음란한 좋은 선배,양과람,2020-06-11,별점(리뷰수),4.3(321),,https://ridibooks.com/books/4708000219
2026-08-06,리디북스,3,궁합을 봅시다,김살구,2020-04-10,별점(리뷰수),4.6(452),,https://ridibooks.com/books/945097941
2026-08-06,리디북스,4,양의 언덕,문설영,2024-10-18,별점(리뷰수),"4.7(3,101)",,https://ridibooks.com/books/945091557
