확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-08,카카오페이지,1,전교 1등이 회귀를 숨김,유지민,2024-11-29,뷰수,"12,637,984",#학원물 #회귀물 #첫사랑 #까칠남 #능글남 #순정남 #후회남 #직진남 #평범녀 #철벽녀 #삼각관계 #로맨틱코미디,https://page.kakao.com/content/65530797
2026-09-08,카카오페이지,2,오빠 친구는 남자가 아니었는데,허이령,2026-09-07,뷰수,"67,362",#현대로맨스 #소유욕/독점욕 #오빠 #능력남 #재벌남 #계략남 #능력녀 #상처녀 #외유내강 #달달물,https://page.kakao.com/content/70248520
2026-09-08,카카오페이지,3,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,866,176",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-09-08,카카오페이지,4,광고천재 조선시대에 떨어지다,단홍,2026-09-05,뷰수,"127,936",#전문직물 #타임슬립 #퓨전사극,https://page.kakao.com/content/70332128
2026-09-08,카카오페이지,5,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"13,654,606",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-09-08,카카오페이지,6,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"21,108,284",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-09-08,카카오페이지,7,오빠 친구의 불순한 과외,예주하,2026-08-30,뷰수,"501,643",#현대로맨스 #동거물 #오빠 #다정남 #츤데레남 #유혹남 #재벌남 #능력남 #절륜남 #순정녀 #직진녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/70324023
2026-09-08,카카오페이지,8,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"29,066,521",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-09-08,카카오페이지,9,악덕 시어머니는 농사지으며 늙고 싶다,"함어삼삼,새라",2026-08-28,뷰수,"259,362",#동양풍 #성장물 #환생물 #가족물 #능력녀 #사이다녀 #타임슬립 #빙의물,https://page.kakao.com/content/70451364
2026-09-08,카카오페이지,10,의술 명가 시한부 막내딸은 천재 의원,빅노아,2026-08-28,뷰수,"395,918",#동양풍 #육아물 #회귀물 #성장물 #다정남 #대형견남 #직진남 #능력녀 #외유내강 #치유물 #권선징악 #냉정남 #전문직물 #까칠남 #복수물,https://page.kakao.com/content/69943182
2026-09-08,카카오페이지,11,임신한 아내가 도망쳤다,삼색냥,2026-06-14,뷰수,"994,372",#현대로맨스 #재회물 #막장 #나이차커플 #시월드 #짝사랑 #소유욕/독점욕 #오만남 #후회남 #상처녀 #순진녀 #맞선관계 #정략결혼,https://page.kakao.com/content/69312434
2026-09-08,카카오페이지,12,선 넘는 가짜 애인,나제,2026-06-26,뷰수,"593,123",#현대로맨스 #재벌남 #능글남 #직진남 #평범녀 #다정녀 #계약관계 #달달물 #로맨틱코미디,https://page.kakao.com/content/69305943
2026-09-08,카카오페이지,13,오싹한 선배 [19세 완전판],우아진,2026-08-16,뷰수,"584,018",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #유혹남 #재벌남 #절륜남 #선배 #능력녀 #자상녀 #엉뚱발랄녀 #철벽녀 #로맨틱코미디,https://page.kakao.com/content/69994141
2026-09-08,카카오페이지,14,뱀과 꽃과 범,김목샤,2026-09-01,뷰수,"131,984",#현대로맨스 #미스터리 #능력남 #재벌남 #직진남 #계략남 #다정남 #애교남 #유혹남 #존댓말남 #연하남 #능력녀 #냉정녀 #우월녀,https://page.kakao.com/content/70270208
2026-09-08,카카오페이지,15,무례하고 다정한,carbo(도효원),2026-01-30,뷰수,"2,712,711",#현대로맨스 #까칠남 #다정남 #재벌남 #차도남 #능력남 #무심남 #능력녀 #외유내강 #뇌섹녀 #재벌녀 #상처녀 #다정녀 #로맨틱코미디 #달달물,https://page.kakao.com/content/68448331
2026-09-08,리디북스,1,인투 더 섀도우(Into the shadow),이분홍,2026-09-03,별점(리뷰수),"4.8(1,008)",#현대물 #실존역사물 #서양풍 #나이차커플 #복수 #정략결혼 #상처남 #동정남 #다정남 #절륜남 #순진녀 #카리스마남 #왕족/귀족 #조직/암흑가 #선결혼후연애 #소유욕/독점욕/질투 #뇌섹남 #능력남 #사이다남 #직진녀 #다정녀 #유혹녀 #짝사랑녀 #외유내강 #힐링물 #성장물 #별점1000개이상 #1만원~2만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #이분홍 #블랙엔,https://ridibooks.com/books/5721000635
2026-09-08,리디북스,2,고백 공격은 신중하게,민해라,2026-09-02,별점(리뷰수),4.3(220),#현대물 #캠퍼스물 #로맨틱코미디 #동정남 #순진녀 #재벌남 #라이벌/앙숙 #비밀연애 #뇌섹남 #능력남 #집착남 #오만남 #철벽녀 #동정녀 #무심녀 #별점100개이상 #3000~5000원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #민해라 #에이블,https://ridibooks.com/books/3049083853
2026-09-08,리디북스,3,나의 은조,김결,2026-05-07,별점(리뷰수),4.1(717),#현대물 #재회물 #까칠남 #후회남 #상처녀 #오해 #재벌남 #애잔물 #뇌섹남 #냉정남 #철벽녀 #도도녀 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #김결 #윈썸,https://ridibooks.com/books/1239022714
2026-09-08,리디북스,4,뱉은 껌 다시 씹기,한태양,2026-09-05,별점(리뷰수),4.2(205),#현대물 #친구>연인 #나쁜남자 #후회남 #절륜남 #능글남 #재벌남 #소유욕/독점욕/질투 #집착남 #오만남 #평범녀 #다정녀 #짝사랑녀 #순정녀 #동정녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #한태양 #이브,https://ridibooks.com/books/3049084401
2026-09-08,리디북스,5,슈가 트릭,한이림,2026-09-07,별점(리뷰수),4.6(230),#현대물 #나이차커플 #복수 #사내연애 #절륜남 #계략남 #순진녀 #상처녀 #능글남 #조직/암흑가 #경찰/형사/수사관 #소유욕/독점욕/질투 #능력남 #집착남 #냉정남 #오만남 #직진녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #한이림 #SOME,https://ridibooks.com/books/5919000293
2026-09-08,리디북스,6,두근두근 플래닛,백민아,2025-02-01,별점(리뷰수),"4.5(1,266)",#현대물 #캠퍼스물 #로맨틱코미디 #순정남 #동정남 #상처녀 #달달물 #짝사랑남 #순진남 #대형견남 #짝사랑녀 #동정녀 #외유내강 #별점1000개이상 #1만원~2만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #백민아 #나인,https://ridibooks.com/books/5654000184
2026-09-08,리디북스,7,문란한 고백,반지영,2026-09-01,별점(리뷰수),4.6(190),#현대물 #첫사랑 #신파 #재회물 #순정남 #다정남 #재벌남 #애잔물 #신분차이 #소유욕/독점욕/질투 #직진남 #집착남 #동정녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #반지영 #이지콘텐츠,https://ridibooks.com/books/3885050461
2026-09-08,리디북스,8,백련가약(白蓮佳約),리베냐,2026-08-31,별점(리뷰수),4.7(524),#역사/시대물 #동양풍 #동거 #로맨틱코미디 #복수 #첫사랑 #재회물 #상처남 #순정남 #동정남 #다정남 #절륜남 #계략남 #절륜녀 #순진녀 #상처녀 #오해 #능글남 #달달물 #권선징악 #신분차이 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #사이다남 #집착남 #직진녀 #다정녀 #애교녀 #유혹녀 #짝사랑녀 #순정녀 #동정녀 #엉뚱녀 #조신남 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #고수위 #평점4점이상 #단행본 #리베냐 #담소,https://ridibooks.com/books/4954017455
2026-09-08,리디북스,9,상사도 밤에 쓰려면 없다,금단,2026-01-26,별점(리뷰수),"4.6(1,860)",#현대물 #사내연애 #상처남 #나쁜남자 #순정남 #동정남 #후회남 #절륜남 #오해 #재벌남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #짝사랑남 #오만남 #다정녀 #유혹녀 #철벽녀 #동정녀 #외유내강 #엉뚱녀 #쾌활발랄녀 #더티토크 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #고수위 #평점4점이상 #단행본 #금단 #어셈블,https://ridibooks.com/books/1483039256
2026-09-08,리디북스,10,서울에서 남자애 하나가 내려왔다더라,견우,2026-08-14,별점(리뷰수),"4.7(1,168)",#현대물 #학원물 #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #순정남 #동정남 #다정남 #상처녀 #오해 #카리스마남 #재벌남 #애증 #신분차이 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #집착남 #짝사랑남 #평범녀 #능글녀 #다정녀 #후회녀 #짝사랑녀 #순정녀 #동정녀 #무심녀 #털털녀 #조신남 #츤데레남 #별점1000개이상 #1만원~2만원 #리뷰500개이상 #평점4점이상 #단행본 #견우 #SOME,https://ridibooks.com/books/4865000493
2026-09-08,리디북스,11,가시 돋친 순애,감언이설,2026-07-01,별점(리뷰수),"4.6(1,583)",#현대물 #19+ #학원물 #동거 #첫사랑 #재회물 #순정남 #동정남 #다정남 #절륜남 #상처녀 #오해 #능글남 #애증 #소유욕/독점욕/질투 #운명적사랑 #능력남 #직진남 #집착남 #대형견남 #후회녀 #동정녀 #까칠녀 #냉정녀 #도도녀 #별점1000개이상 #1만원~2만원 #리뷰1000개이상 #평점4점이상 #단행본 #감언이설 #래이니북스,https://ridibooks.com/books/3075003345
2026-09-08,리디북스,12,러브:제로(Love:Zero),이분홍,2025-04-10,별점(리뷰수),"4.8(6,267)",#현대물 #19+ #동거 #로맨틱코미디 #첫사랑 #친구>연인 #까칠남 #나쁜남자 #순정남 #동정남 #후회남 #절륜남 #순진녀 #상처녀 #재벌남 #달달물 #베이비메신저 #애증 #외국인/혼혈 #스포츠물 #비밀연애 #신분차이 #계약연애/결혼 #소유욕/독점욕/질투 #능력남 #사이다남 #직진남 #집착남 #평범녀 #뇌섹녀 #순정녀 #동정녀 #힐링물 #성장물 #츤데레남 #1만원~2만원 #리뷰1000개이상 #별점5000개이상 #10%할인 #평점4점이상 #단행본 #이분홍 #나인,https://ridibooks.com/books/5721000280
2026-09-08,리디북스,13,개 같은 달링,도민아,2026-06-05,별점(리뷰수),4.3(793),#현대물 #나이차커플 #첫사랑 #정략결혼 #나쁜남자 #절륜남 #계략남 #오해 #카리스마남 #재벌남 #달달물 #계약연애/결혼 #소유욕/독점욕/질투 #집착남 #무심남 #오만남 #재벌녀 #직진녀 #애교녀 #짝사랑녀 #순정녀 #까칠녀 #도도녀 #더티토크 #별점500개이상 #5000~1만원 #리뷰500개이상 #고수위 #평점4점이상 #단행본 #도민아 #이브,https://ridibooks.com/books/3049082187
2026-09-08,리디북스,14,순애vs속물,곽두팔,2025-10-29,별점(리뷰수),4.3(585),#현대물 #로맨틱코미디 #후회남 #절륜남 #순진녀 #능글남 #조직/암흑가 #갑을관계 #능력남 #집착남 #오만남 #평범녀 #동정녀 #외유내강 #엉뚱녀 #하드코어 #츤데레남 #별점500개이상 #3000~5000원 #고수위 #평점4점이상 #리뷰100개이상 #단행본 #곽두팔 #북극여우,https://ridibooks.com/books/2404036282
2026-09-08,리디북스,15,이혼 절대 사수!,우윤소,2026-08-14,별점(리뷰수),4.5(836),#현대물 #19+ #첫사랑 #까칠남 #애증 #선결혼후연애 #소유욕/독점욕/질투 #능력남 #집착남 #오만남 #계략녀 #유혹녀 #짝사랑녀 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #우윤소 #몽블랑,https://ridibooks.com/books/120110169
2026-09-08,네이버시리즈,1,효율적인 남자 [독점],김몽꿀,2026-05-16,다운로드수,47만,#NOVEL #로맨스 #재회물 #재벌 #일상로맨스 #직진남 #엉뚱발랄녀,https://series.naver.com/novel/detail.series?productNo=14143381
2026-09-08,네이버시리즈,2,무결의 세계 [독점],단단,2026-09-05,다운로드수,15.4만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #직진남 #능력녀 #친구에서연인,https://series.naver.com/novel/detail.series?productNo=14661383
2026-09-08,네이버시리즈,3,해일주의보 [독점],그일도,2025-08-04,다운로드수,344.4만,#NOVEL #로맨스 #계략남 #순정남 #로맨틱코미디 #소유욕/집착 #오피스로맨스,https://series.naver.com/novel/detail.series?productNo=12946697
2026-09-08,네이버시리즈,4,피사르 (pesar) [독점],완전천재,2025-10-22,다운로드수,77만,#NOVEL #로맨스 #상처녀 #소유욕/집착 #재벌 #후회남,https://series.naver.com/novel/detail.series?productNo=13252568
2026-09-08,네이버시리즈,5,남편이 아이를 숨겼다 [독점],김노라,2025-10-23,다운로드수,151만,#NOVEL #로맨스 #순정남 #까칠자상남 #몸정>맘정 #육아 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=13256100
2026-09-08,네이버시리즈,6,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,다운로드수,21만,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
2026-09-08,네이버시리즈,7,청순한 스캔들 [독점],비단라,2026-09-07,다운로드수,9.1천,#NOVEL #로맨스 #직진남 #능글남 #능력녀 #로맨틱코미디 #계약관계,https://series.naver.com/novel/detail.series?productNo=14651129
2026-09-08,네이버시리즈,8,동생의 약혼자와 [독점],제이이슬,2024-09-20,다운로드수,92.6만,#NOVEL #로맨스 #소유욕/집착 #상처녀 #재벌 #후회남 #계략남,https://series.naver.com/novel/detail.series?productNo=11598767
2026-09-08,네이버시리즈,9,미친 황제의 목줄을 쥐었다 [선공개],아란결,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14443911
2026-09-08,네이버시리즈,10,어린 아내와 나쁜 짓 [독점],이리와,2024-11-20,다운로드수,708.2만,#NOVEL #로맨스 #계약관계 #순정남 #나이차커플 #상처녀 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=11852343
2026-09-08,네이버시리즈,11,길티 원나잇 [독점],리버 진,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14384965
2026-09-08,네이버시리즈,12,미치게 예뻐서 [독점],신시율,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14645676
2026-09-08,네이버시리즈,13,후부인여살저도,단자래습,2026-08-17,다운로드수,27만,#NOVEL #로맨스 #달달물 #복수물 #오해 #출생의비밀 #직진남,https://series.naver.com/novel/detail.series?productNo=14535662
2026-09-08,네이버시리즈,14,리페어 [독점],유의미,2026-07-06,다운로드수,4.6만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14379636
2026-09-08,네이버시리즈,15,친구의 선을 넘으면 [독점],세엘리,2026-07-06,다운로드수,41.2만,#NOVEL #로맨스 #소꿉친구 #짝사랑녀,https://series.naver.com/novel/detail.series?productNo=14378408
