확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-05,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,459,364",,
2026-08-05,카카오페이지,2,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"593,535",,
2026-08-05,카카오페이지,3,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"78,390",,
2026-08-05,카카오페이지,4,청룡 가문의 많이 수상한 삐약이,라비올리,2026-08-04,뷰수,"75,222",,
2026-08-05,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"19,958,688",,
2026-08-05,카카오페이지,6,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"3,913,044",,
2026-08-05,카카오페이지,7,장미다방 로맨스,다온향,2026-08-02,뷰수,"76,522",,
2026-08-05,카카오페이지,8,윗집 오빠의 야밤 연락,아유이,2026-05-04,뷰수,"1,218,366",,
2026-08-05,카카오페이지,9,장미다방 로맨스 [19세 완전판],다온향,2026-08-02,뷰수,"62,090",,
2026-08-05,카카오페이지,10,독점 계약,유정연,2026-07-29,뷰수,"237,501",,
2026-08-05,카카오페이지,11,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,502,519",,
2026-08-05,카카오페이지,12,플래그 [19세 완전판],꽃제이,2026-06-22,뷰수,"1,191,996",,
2026-08-05,카카오페이지,13,오빠 친구와의 맞선,휘나,2026-07-23,뷰수,"514,723",,
2026-08-05,카카오페이지,14,십이지신의 사랑받는 아기 신녀님,센리,2026-07-15,뷰수,"641,028",,
2026-08-05,카카오페이지,15,주작 가문의 작은 아기뱀,김노랑,2026-05-31,뷰수,"2,115,236",,
2026-08-05,리디북스,1,양의 언덕,문설영,2024-10-18,별점(리뷰수),"4.7(3,094)",,https://ridibooks.com/books/945091557
2026-08-05,리디북스,2,음란한 좋은 선배,양과람,2020-06-11,별점(리뷰수),4.3(311),,https://ridibooks.com/books/4708000219
2026-08-05,리디북스,3,궁합을 봅시다,김살구,2020-04-10,별점(리뷰수),4.6(319),,https://ridibooks.com/books/945097941
2026-08-05,리디북스,4,가면의 개화,시크,2015-07-14,별점(리뷰수),4.0(143),,https://ridibooks.com/books/1483041530
2026-08-05,리디북스,5,숫것,가김,2024-02-13,별점(리뷰수),"4.8(1,280)",,https://ridibooks.com/books/4934000651
2026-08-05,리디북스,6,핑커 퐁커 스토커,또다른,2019-09-24,별점(리뷰수),4.7(840),,https://ridibooks.com/books/5238000634
2026-08-05,리디북스,7,러브:제로(Love:Zero),이분홍,2024-10-18,별점(리뷰수),"4.8(6,120)",,https://ridibooks.com/books/5721000280
2026-08-05,리디북스,8,베이비 트랩(Baby Trap),구란화,2024-10-18,별점(리뷰수),4.3(98),,https://ridibooks.com/books/2259040225
2026-08-05,리디북스,9,김우진의 여사친 걔,작저,2023-09-04,별점(리뷰수),4.5(801),,https://ridibooks.com/books/120108818
2026-08-05,리디북스,10,어느 쓰레기통의 취향저격,유이세스,2022-05-09,별점(리뷰수),4.6(577),,https://ridibooks.com/books/6167000176
