확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-08,카카오페이지,1,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"11,658,194",,https://page.kakao.com/content/68283715
2026-08-08,카카오페이지,2,몰락한 가문의 소저가 되다,화필고고,2026-08-03,뷰수,"224,676",,https://page.kakao.com/content/69855205
2026-08-08,카카오페이지,3,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"710,748",,https://page.kakao.com/content/69836997
2026-08-08,카카오페이지,4,청룡 가문의 많이 수상한 삐약이,라비올리,2026-08-04,뷰수,"189,359",,https://page.kakao.com/content/69968194
2026-08-08,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,045,133",,https://page.kakao.com/content/65721646
2026-08-08,카카오페이지,6,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"3,966,311",,https://page.kakao.com/content/69113551
2026-08-08,카카오페이지,7,로열 스캔들(Royal Scandal) [단행본],수하나,2026-08-06,뷰수,"11,118",,https://page.kakao.com/content/69937181
2026-08-08,카카오페이지,8,플래그 [19세 완전판],꽃제이,2026-06-22,뷰수,"1,238,754",,https://page.kakao.com/content/69454506
2026-08-08,카카오페이지,9,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,550,234",,https://page.kakao.com/content/65575525
2026-08-08,카카오페이지,10,짐승 선배와 결혼,예주하,2026-04-04,뷰수,"1,229,092",,https://page.kakao.com/content/68923302
2026-08-08,카카오페이지,11,오빠 친구와의 맞선,휘나,2026-07-23,뷰수,"552,323",,https://page.kakao.com/content/69723868
2026-08-08,카카오페이지,12,장미다방 로맨스,다온향,2026-08-02,뷰수,"105,392",,https://page.kakao.com/content/69895764
2026-08-08,카카오페이지,13,단총소청매: 산적들의 금지옥엽,목향대,2026-08-04,뷰수,"30,256",,https://page.kakao.com/content/69968210
2026-08-08,카카오페이지,14,장미다방 로맨스 [19세 완전판],다온향,2026-08-02,뷰수,"96,555",,https://page.kakao.com/content/69895771
2026-08-08,카카오페이지,15,로열 스캔들(Royal Scandal),수하나,2025-04-30,뷰수,"4,956,904",,https://page.kakao.com/content/66606252
2026-08-08,리디북스,1,핑커 퐁커 스토커,또다른,2019-09-24,별점(리뷰수),4.7(971),,https://ridibooks.com/books/5238000634
2026-08-08,리디북스,2,궁합을 봅시다,김살구,2020-04-10,별점(리뷰수),4.6(523),,https://ridibooks.com/books/945097941
2026-08-08,리디북스,3,음란한 좋은 선배,양과람,2020-06-11,별점(리뷰수),4.3(334),,https://ridibooks.com/books/4708000219
2026-08-08,리디북스,4,양의 언덕,문설영,2025-04-03,별점(리뷰수),"4.7(3,115)",,https://ridibooks.com/books/945091557
2026-08-08,리디북스,5,<이주> 세트 원샷,스무이레,2024-12-03,별점(리뷰수),4.7(513),,https://ridibooks.com/books/111144039
2026-08-08,리디북스,6,어린 손님,산자고,2025-02-03,별점(리뷰수),4.4(152),,https://ridibooks.com/books/3049083558
2026-08-08,리디북스,7,베이비 트랩(Baby Trap),구란화,2025-04-18,별점(리뷰수),4.3(121),,https://ridibooks.com/books/2259040225
2026-08-08,리디북스,8,러브:제로(Love:Zero),이분홍,2025-04-03,별점(리뷰수),"4.8(6,130)",,https://ridibooks.com/books/5721000280
2026-08-08,리디북스,9,숫것,가김,2024-02-13,별점(리뷰수),"4.8(1,317)",,https://ridibooks.com/books/4934000651
2026-08-08,리디북스,10,개차반의 순정,임진,2025-09-09,별점(리뷰수),4.1(96),,https://ridibooks.com/books/3885049134
2026-08-08,리디북스,11,김우진의 여사친 걔,작저,2023-09-04,별점(리뷰수),4.5(812),,https://ridibooks.com/books/120108818
2026-08-08,리디북스,12,스윗 써머(Sweet Summer),다미레,2015-07-09,별점(리뷰수),4.5(128),,https://ridibooks.com/books/3586121108
2026-08-08,리디북스,13,이주,스무이레,2024-12-03,별점(리뷰수),4.7(513),,https://ridibooks.com/books/211058233
2026-08-08,리디북스,14,동정 배틀,굳기,2023-08-02,별점(리뷰수),3.9(81),,https://ridibooks.com/books/945097918
2026-08-08,리디북스,15,어느 쓰레기통의 취향저격,유이세스,2022-05-09,별점(리뷰수),4.6(591),,https://ridibooks.com/books/6167000176
2026-08-08,네이버시리즈,1,김택서 복수일지 [독점],그일도,2026-08-06,다운로드수,27.1만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-08,네이버시리즈,2,숨겨진 아이 [독점],해엘,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14452719
2026-08-08,네이버시리즈,3,교수님 아이가 아니에요 [독점],배사비,2026-07-27,다운로드수,48.4만,#NOVEL #로맨스 #전문직로맨스 #베이비메신저 #메디컬 #재회물 #후회남,https://series.naver.com/novel/detail.series?productNo=14470119
2026-08-08,네이버시리즈,4,버릇 나쁜 오빠 [독점][삽화본],갓녀,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14506678
2026-08-08,네이버시리즈,5,결혼은 복수다 [독점],닥터냐냐,2026-07-11,다운로드수,35.9만,#NOVEL #로맨스 #복수물 #재벌 #계략녀 #능력남 #귀환물,https://series.naver.com/novel/detail.series?productNo=14386761
2026-08-08,네이버시리즈,6,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,다운로드수,8.9만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
2026-08-08,네이버시리즈,7,어린 아내와 나쁜 짓 [독점],이리와,2024-11-20,다운로드수,670만,#NOVEL #로맨스 #계약관계 #순정남 #나이차커플 #상처녀 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=11852343
2026-08-08,네이버시리즈,8,하상무 아저씨 [독점][삽화본],오대리,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=13752700
2026-08-08,네이버시리즈,9,크리티컬 플러팅 [독점],임여리,2026-05-30,다운로드수,97.1만,#NOVEL #로맨스 #직진남 #능글남 #철벽녀 #재벌 #권선징악,https://series.naver.com/novel/detail.series?productNo=14206564
2026-08-08,네이버시리즈,10,길사,carbo(도효원),2024-07-15,다운로드수,62만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=11332265
2026-08-08,네이버시리즈,11,하트 블로썸,최수현,2026-01-19,다운로드수,11.1만,#NOVEL #로맨스 #메디컬 #로맨틱코미디 #소유욕/집착 #능력남 #다정녀,https://series.naver.com/novel/detail.series?productNo=13615942
2026-08-08,네이버시리즈,12,남사친의 취향 [삽화본][독점],벚꽃그리고,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14190439
2026-08-08,네이버시리즈,13,갑질 [독점],시월이,2026-07-16,다운로드수,84.2만,#NOVEL #로맨스 #계략남 #재벌 #외유내강 #카리스마남,https://series.naver.com/novel/detail.series?productNo=14448131
2026-08-08,네이버시리즈,14,친구 오빠와 한집에 [독점],석지현,2026-06-08,다운로드수,7.9만,#NOVEL #로맨스 #나이차커플 #동거 #직진남 #순진녀 #일상로맨스,https://series.naver.com/novel/detail.series?productNo=14233697
2026-08-08,네이버시리즈,15,은밀한 친구 오빠 [독점],신해,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14205047
