확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-26,카카오페이지,1,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"22,915,981",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-09-26,카카오페이지,2,천재 아역 배우는 아빠를 찾고 싶어!,수하나,2026-09-25,뷰수,"96,301",#육아물 #연예계물 #성장물 #천재 #힐링물,https://page.kakao.com/content/70443131
2026-09-26,카카오페이지,3,몰락서녀생존기,람글,2026-09-13,뷰수,"1,515,186",#동양풍 #궁정로맨스 #타임슬립 #복수물 #암투물 #다정남 #카리스마남 #상처남 #철벽남 #능력녀 #자상녀 #외유내강 #뇌섹녀 #드라마 #권선징악,https://page.kakao.com/content/70354512
2026-09-26,카카오페이지,4,너의 윙맨에게 [19세 완전판],건어물녀,2024-09-12,뷰수,"5,570,066",#현대로맨스 #전문직물 #캠퍼스물 #운명 #성장물 #군대물 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #능글남 #계략남 #까칠남 #치유물,https://page.kakao.com/content/65015393
2026-09-26,카카오페이지,5,너는 그냥 당하면 돼,사지현,2026-09-23,뷰수,"116,119",#현대로맨스 #복수물 #회귀물 #권선징악 #막장 #사이다녀 #능력녀 #계략녀 #능력남 #직진남 #재벌남 #재회물 #소유욕/독점욕 #걸크러쉬 #상처녀,https://page.kakao.com/content/70254288
2026-09-26,카카오페이지,6,너는 그냥 당하면 돼 [19세 완전판],사지현,2026-09-23,뷰수,"103,055",#현대로맨스 #복수물 #회귀물 #권선징악 #막장 #사이다녀 #능력녀 #계략녀 #직진남 #능력남 #재벌남 #소유욕/독점욕 #재회물 #걸크러쉬 #상처녀,https://page.kakao.com/content/70254332
2026-09-26,카카오페이지,7,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"14,267,993",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-09-26,카카오페이지,8,러브 캠프,뽕시꽁시,2026-09-21,뷰수,"171,374",#현대로맨스 #재회물 #첫사랑 #삼각관계 #소유욕/독점욕 #능력남 #직진남 #계략남 #후회남 #다정녀 #상처녀 #철벽녀,https://page.kakao.com/content/70253102
2026-09-26,카카오페이지,9,너의 윙맨에게 [19세 완전판][단행본],건어물녀,2026-02-23,뷰수,"204,943",#캠퍼스물 #전문직물 #현대로맨스 #역하렘 #운명 #성장물 #군대물 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #능글남 #계략남 #까칠남 #치유물,https://page.kakao.com/content/68572313
2026-09-26,카카오페이지,10,너의 윙맨에게,건어물녀,2024-09-12,뷰수,"1,445,268",#현대로맨스 #운명 #전문직물 #캠퍼스물 #군대물 #능글남 #까칠남 #계략남 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #치유물 #성장물,https://page.kakao.com/content/65015396
