확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-16,카카오페이지,1,몰락서녀생존기,람글,2026-09-13,뷰수,"646,371",#동양풍 #궁정로맨스 #타임슬립 #복수물 #암투물 #다정남 #카리스마남 #상처남 #철벽남 #능력녀 #자상녀 #외유내강 #뇌섹녀 #드라마 #권선징악,https://page.kakao.com/content/70354512
2026-09-16,카카오페이지,2,대통령 집안의 액받이 며느리였습니다,최서하,2026-09-11,뷰수,"285,241",#걸크러쉬 #로맨틱코미디 #순정남 #상처녀 #운명 #복수물,https://page.kakao.com/content/70357033
2026-09-16,카카오페이지,3,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"13,837,701",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-09-16,카카오페이지,4,너의 윙맨에게 [19세 완전판],건어물녀,2024-09-12,뷰수,"4,695,499",#현대로맨스 #전문직물 #캠퍼스물 #운명 #성장물 #군대물 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #능글남 #계략남 #까칠남 #치유물,https://page.kakao.com/content/65015393
2026-09-16,카카오페이지,5,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"21,308,161",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-09-16,카카오페이지,6,깨알 부부,하윤미,2026-09-09,뷰수,"263,182",#현대로맨스 #오해물 #시월드 #짝사랑 #첫사랑 #재벌남 #카리스마남 #후회남 #오빠 #기억상실 #사이다남 #선배 #평범녀 #상처녀 #짝사랑녀,https://page.kakao.com/content/70397358
2026-09-16,카카오페이지,7,한 치의 거짓도 없이 거짓을 [19세 완전판][단행본],얍스,2026-09-15,뷰수,"7,078",#현대로맨스 #막장 #소유욕/독점욕 #재벌남 #절륜남 #집착남 #계략녀 #절륜녀 #나쁜여자 #유혹녀 #금단의관계,https://page.kakao.com/content/70597635
2026-09-16,카카오페이지,8,전교 1등이 회귀를 숨김,유지민,2024-11-29,뷰수,"13,184,330",#학원물 #회귀물 #첫사랑 #까칠남 #능글남 #순정남 #후회남 #직진남 #평범녀 #철벽녀 #삼각관계 #로맨틱코미디,https://page.kakao.com/content/65530797
2026-09-16,카카오페이지,9,너의 윙맨에게,건어물녀,2024-09-12,뷰수,"1,118,605",#현대로맨스 #운명 #전문직물 #캠퍼스물 #군대물 #능글남 #까칠남 #계략남 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #치유물 #성장물,https://page.kakao.com/content/65015396
2026-09-16,카카오페이지,10,도파민 중독,성하,2026-07-03,뷰수,"771,898",#현대로맨스 #외국인남/혼혈 #능글남 #존댓말남 #외유내강 #까칠녀 #사이다녀 #라이벌/앙숙 #권선징악,https://page.kakao.com/content/69530893
