확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-09-11,온실 속 도련님 [독점],춈춈,2026-09-08,9.4,183,22.3만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14661377
2026-09-11,나의 미친 아내에게 [독점],캐리조이,2026-09-07,9.9,7,1.5만,#NOVEL #로맨스 #오해 #복수물 #선결혼후연애 #상처녀 #능력남,https://series.naver.com/novel/detail.series?productNo=14655681
2026-09-11,청순한 스캔들 [독점],비단라,2026-09-07,10.0,422,3만,#NOVEL #로맨스 #직진남 #능글남 #능력녀 #로맨틱코미디 #계약관계,https://series.naver.com/novel/detail.series?productNo=14651129
2026-09-11,영원히 태양을 길들이면 [선공개],릴리원,2026-09-07,9.8,6,1.1만,#NOVEL #로맨스 #능력녀 #직진남 #첫사랑 #까칠자상남 #오피스로맨스,https://series.naver.com/novel/detail.series?productNo=14644622
2026-09-11,너를 위한 파멸 [독점],오온,2026-08-31,10.0,6,1.5만,#NOVEL #로맨스 #계약관계 #복수물 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=14638415
2026-09-11,작전명 결혼 [독점],아뜨,2026-08-31,9.7,11,3.9만,#NOVEL #로맨스 #나이차커플 #정략결혼 #선결혼후연애 #상처녀 #까칠자상남,https://series.naver.com/novel/detail.series?productNo=14624814
2026-09-11,무결의 세계 [독점],단단,2026-09-05,9.4,452,23.4만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #직진남 #능력녀 #친구에서연인,https://series.naver.com/novel/detail.series?productNo=14661383
