확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-17,이븐 게임(Even Game) [독점],이서윤,2026-08-17,10.0,0,,#NOVEL #로맨스 #몸정>맘정 #능력남 #털털녀 #소유욕/집착 #카리스마남,https://series.naver.com/novel/detail.series?productNo=14572468
2026-08-17,길티 애프터 [독점],서윤재,2026-08-17,10.0,0,,#NOVEL #로맨스 #계략남 #계약관계 #몸정>맘정,https://series.naver.com/novel/detail.series?productNo=14569436
2026-08-17,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,248,8.3만,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-17,교수님의 이상형 [독점],은자향,2026-08-17,10.0,1,,#NOVEL #로맨스 #나이차커플 #다정남 #메디컬 #순애 #능력녀,https://series.naver.com/novel/detail.series?productNo=14553154
2026-08-17,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,9.6,5,1.9만,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-17,비의도적 동거 [독점],전여린,2026-08-10,9.9,40,2.7만,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-17,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,10.0,144,3.9만,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-17,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,9.5,362,7.2만,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
2026-08-17,사내 열애 [독점],손유애,2026-08-11,9.9,1.2천,23.5만,#NOVEL #로맨스 #오피스로맨스 #나이차커플 #재벌 #계략남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-17,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.9,60,11.9만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-17,김택서 복수일지 [독점],그일도,2026-08-06,9.7,903,68.8만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-17,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,8.1,115,14.8만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
