확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-16,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,9.2,215,4.8만,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
2026-08-16,사내 열애 [독점],손유애,2026-08-11,9.9,1.2천,19.6만,#NOVEL #로맨스 #오피스로맨스 #나이차커플 #재벌 #계략남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-16,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,239,6.5만,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-16,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,9.9,4,1.6만,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-16,비의도적 동거 [독점],전여린,2026-08-10,9.9,37,2.3만,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-16,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,9.9,134,3.4만,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-16,미친 오빠의 몹쓸 구원 [독점],달뜬별,2026-08-03,9.8,40,8만,#NOVEL #로맨스 #구원 #재회물 #직진남 #임신후도망 #햇살녀,https://series.naver.com/novel/detail.series?productNo=14520692
2026-08-16,당신이 잠든 시간 [선공개],서채리,2026-08-03,9.9,212,2.1만,#NOVEL #로맨스 #강단녀 #뇌섹남 #배틀연애 #임신후도망 #셀프구원여주,https://series.naver.com/novel/detail.series?productNo=14515554
2026-08-16,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.8,59,11.7만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-16,김택서 복수일지 [독점],그일도,2026-08-06,9.6,891,66.8만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-16,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,8.0,115,14.6만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
