확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-20,사내 열애 [독점],손유애,2026-08-11,9.9,1.5천,35.7만,#NOVEL #로맨스 #오피스로맨스 #나이차커플 #재벌 #계략남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-20,이븐 게임(Even Game) [독점],이서윤,2026-08-17,10.0,5,6천,#NOVEL #로맨스 #몸정>맘정 #능력남 #털털녀 #소유욕/집착 #카리스마남,https://series.naver.com/novel/detail.series?productNo=14572468
2026-08-20,길티 애프터 [독점],서윤재,2026-08-17,9.7,7,9.5천,#NOVEL #로맨스 #계략남 #계약관계 #몸정>맘정,https://series.naver.com/novel/detail.series?productNo=14569436
2026-08-20,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,295,11.9만,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-20,교수님의 이상형 [독점],은자향,2026-08-17,10.0,15,2.7만,#NOVEL #로맨스 #나이차커플 #다정남 #메디컬 #순애 #능력녀,https://series.naver.com/novel/detail.series?productNo=14553154
2026-08-20,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,9.8,12,2.2만,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-20,비의도적 동거 [독점],전여린,2026-08-10,9.9,40,3.1만,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-20,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,10.0,155,4.8만,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-20,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,9.4,827,12.3만,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
2026-08-20,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,8.9,60,12.3만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
